Title,Price,Description,Location
"
        3bdrm House in Living Large, East Legon for Rent
    ","
        GH₵ 5,000
    ","
                            3 BEDROOM LUXURIOUS FOR RENT AT BOTWE SCHOOL JUNCTION 
3 bedrooms is available for rent At BOTWE...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Next Estate, Ga West Municipal for Rent
    ","
        GH₵ 1,300
    ","
                            Two bedroom apartment for rent at ablakuma fun Malik please if interested call or wAspp.
                        ","
            Greater Accra, Ga West Municipal
        "
"
        3bdrm Apartment in North Legon for Rent
    ","
        GH₵ 5,000
    ","
                            Executive 3bedrooms apartment in north Legon for rent - 5000 cedis negotiable 
Service charge...
                        ","
            Greater Accra, North Legon
        "
"
        2bdrm Apartment in by Melcom, Ashomang Estate for Rent
    ","
        GH₵ 1,100
    ","
                            A 2 bedrooms apartment for rent, note,it is an open kitchen.( kitchen is in the hall).
Rent includes...
                        ","
            Greater Accra, Ashomang Estate
        "
"
        Furnished 1bdrm Apartment in Royal View Apartment, Sowutwuom for Rent
    ","
        GH₵ 1,000
    ","
                            Furnished and unfurnished apartments with 24/7 light water and security, 3 months to 2 years stay...
                        ","
            Greater Accra, Sowutwuom
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Kukuo. closed to TTH, closed to town. water flows there and as well...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Oyarifa Special for Rent
    ","
        GH₵ 1,000
    ","
                            2bedrooms apartment at oyarifa spacial around anointed newly built ready to move inn, water and...
                        ","
            Greater Accra, Oyarifa
        "
"
        4bdrm Apartment in Best Choice Facility, Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            5Bedroom house for rent Tantra hill for rent at affordable price call or contact us for more details...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            1 bedroom apartment for rent at Koblimahagu, closed to Koblimahagu Last stop
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Apartment in Pillar 2, Accra Metropolitan for Rent
    ","
        GH₵ 1,200
    ","
                            Nice area not far from roadside, water flows, electricity seperate meter, good security area, its 3...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 2bdrm Apartment in Sammy, Accra Metropolitan for Rent
    ","
        GH₵ 1,600
    ","
                            2 Bedroom fully furnished at east airport, has air-conditioning , kitchen , washroom, lobby , dinner...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Duplex in East Legon, Accra Metropolitan for Rent
    ","
        GH₵ 17,000
    ","
                            This is (3) bedrooms house town house with boys quarters and communal pool .
Location :East legon...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya West for Rent
    ","
        GH₵ 1,000
    ","
                            Executive Newly built 2Bedroom apartment
Located at kasoa Lamptey area.
going for 1000gh accept...
                        ","
            Central Region, Awutu Senya West
        "
"
        4bdrm Townhouse/Terrace in East Legon for Rent
    ","
        GH₵ 7,200
    ","
                            A newly built 4 bedroom townhouse with a family area, a dining section & 2 balconies is up for rent...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 2bdrm Apartment in South La for Rent
    ","
        GH₵ 12,500
    ","
                            Unit features-:
MONTHLY PAYMENT 
• Ensuite bedrooms
• Spacious Living Rooms
• Walk-in closet
• Open...
                        ","
            Greater Accra, South La
        "
"
        Furnished 1bdrm Apartment for Rent
    ","
        GH₵ 400
    ","
                            Neat Newly built chamber and hall self contained.
Located at the Lamptey area
going for 400gh accept...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm Townhouse in Ab Majesty, Airport Residential Area for Rent
    ","
        GH₵ 6,000
    ","
                            FOR RENT
A beautiful 3 bedroom all ensuite house @ 3 bedroom townhouse at East Airport TesAddo...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        Furnished 3bdrm Apartment in Airport Residential Area for Rent
    ","
        GH₵ 18,810
    ","
                            3 bedroom apartment to let in airport residential area.
looking for a private and homey apartment in...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        5bdrm House in Ridge for Rent
    ","
        GH₵ 27,000
    ","
                            5bedroom House in Gated Community at Ridge for rent. This property is at highly sort after location....
                        ","
            Greater Accra, Ridge
        "
"
        2bdrm Apartment in East Legon Sychar, American House for Rent
    ","
        GH₵ 1,500
    ","
                            A nice 2 bedroom with 1 wash room apartment, walled and gated, 24/7 security POP ceiling, Ghana...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm House in Biney Estate Agency, Shama Ahanta East Metropolitan
    ","
        GH₵ 450
    ","
                            Executive chamber and hall SC for rent at Assakae Newtown 
note: the price is not negotiable 
two...
                        ","
            Western Region, Shama Ahanta East Metropolitan
        "
"
        Furnished 2bdrm Apartment in Cantonments for Rent
    ","
        GH₵ 24,000
    ","
                            2BR / 2B 697ft2 available now!
cats are OK - 
dogs are OK - 
2 bed apartment 
unit apartment...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 800
    ","
                            Executive 2bedroom apartment.
Located at tuba area
going for 800gh accept 1year rent
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        Executive 4 Bedroom House for Rent at West Trasacco
    ","
        GH₵ 4,500
    ","
                            *for rent for rent *4* bedroom house *with* a boys quarters location: west trasacco close to...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in US Embassy Area for Rent
    ","
        GH₵ 11,550
    ","
                            Unfurnished 2 Bedroom Apartment for Rent
Features:
•	One Bedroom En Suite
•	Kitchen Cabinets...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in East Legon, Boundary Road Area for Rent
    ","
        GH₵ 4,000
    ","
                            A new built 3bedroom apartment for rent at east legon Ogbojo clean environment going for 2years
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Trom Koforidua, New-Juaben Municipal for Rent
    ","
        GH₵ 450
    ","
                            A teo bedrooms self contained with one washroom available
                        ","
            Eastern Region, New-Juaben Municipal
        "
"
        Newly Built 2 Bedroom Apartment for Rent in Tamale
    ","
        GH₵ 500
    ","
                            Newly built 2 bedroom with nice kitchen, water, wall, fans ... 
                        ","
            Northern Region, Tamale Municipal
        "
"
        5bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
        GH₵ 37,500
    ","
                            4 Bedroom Townhouse for Rent
Features:-
•	1 room boy’s...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        1bdrm Apartment in Tamale-Vittin for rent
    ","
        GH₵ 250
    ","
                            Standard 1 bedroom apartment for rent at vittin Target
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 4bdrm Townhouse in Excel-Fame Consult, Cantonments for Rent
    ","
        GH₵ 23,200
    ","
                            Exquisite 4 bedroom furnished and unfurnished houses within a townhouse for rent in between...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Townhouse/Terrace in Abokobi, Ga East Municipal for Rent
    ","
        GH₵ 4,000
    ","
                            Newly built 3 bedroom townhouse renting in abokobi @¢4000 with service charges
self metered
gen...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        4bdrm House in US Embassy Area for Rent
    ","
        GH₵ 36,800
    ","
                            Ref Number... Jul-2220Q
Executive 4 Bedrooms Townhouse Self compound with swimming pool For Rent at...
                        ","
            Greater Accra, Cantonments
        "
"
        2bdrm Apartment in Penny Station, Teshie for Rent
    ","
        GH₵ 1,300
    ","
                            2bedroom apartments comes with 2washroom self meter fitted kitchen wall gated modern facilities...
                        ","
            Greater Accra, Teshie
        "
"
        1bdrm Apartment in Kboat, Christian Village for Rent
    ","
        GH₵ 700
    ","
                            Chamber and hall self contained for rent at kboat.
please note, apartment is strictly for 2...
                        ","
            Greater Accra, West Legon
        "
"
        5bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 7,000
    ","
                            Executive 5 bedroom house for rent at east legon hills very nice also at every good location also...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 330
    ","
                            1 bedroom apartment for rent at Katariga junction. closed to the roadside.water flows 5 days in a...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 600
    ","
                            Walled 2 bedroom apartment for rent at Vittin Target
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 800
    ","
                            Executive Newly built 2bedroom .
Located at Tuba kasoa road
going for 1000gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 1,800
    ","
                            3 bedroom apartment with kitchen, washrooms, very closed to the main road, closed to TTH, closed to...
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 900
    ","
                            Executive 2Bedroom apartment.
Located at Kasoa Obum road.
going for 900gh accept 1yr.
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        1bdrm Apartment in Ashongman, Ashomang Estate for Rent
    ","
        GH₵ 650
    ","
                            A neat chamber and Hall self contain for rent in Ashongman estate. Pls call for details.
Agency...
                        ","
            Greater Accra, Ashomang Estate
        "
"
        3bdrm Apartment in East Legon for Rent
    ","
        GH₵ 1,700
    ","
                            Available 3 bedroom self contain apartment for rent at East legon
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Bestchoice Property, Accra Metropolitan for Rent
    ","
        GH₵ 1,400
    ","
                            2Bedroom with 2washroom at Achimota Melcom Ghc1400 per month for two year advance Whatsapp or call...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 600
    ","
                            Nice 2bedroom apartment
Located at Kasoa nyanyanor
going for 600gh accept 18months
Wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 600
    ","
                            Executive Newly built 2master bedroom apartment.
Located at Kasoa Tuba road
wall and gate 
self...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        3bedrooms Apartment For Rent At Ablor Adjei Parakuo Estate
    ","
        GH₵ 1,500
    ","
                            Very nice and neat apartment for rent at Ablor Adjei located around Parakou estate just before...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        5bdrm House in East Legon for Rent
    ","
        GH₵ 15,600
    ","
                            5-bedroom house with 1bq to-let at East
Legon not far from Emanuel eye clinic asking price is...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment in Airport Residential for Rent
    ","
        GH₵ 36,000
    ","
                            3 BEDROOM APARTMENT LETTING IN WEST AIRPORT RESIDENTIAL AREA, ACCRA. 
$4500
Living in the highest...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        2bdrm Apartment in Íke, East Legon for Rent
    ","
        GH₵ 1,700
    ","
                            2 BEDROOMS
2 WASHROOMS
1700
Newly Built
Agbogba
3 tenants to be on the compounded
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm Apartment in Kings Properties, Old Ashomang for Rent
    ","
        GH₵ 2,700
    ","
                            Three bedroom self compound,gated community at old ashongman ghc 2,700 a month for one year.contact...
                        ","
            Greater Accra, Old Ashomang
        "
"
        2bdrm Apartment in Abokobi Council for Rent
    ","
        GH₵ 1,500
    ","
                            Two bedroom apartment for rent at Abokobi council... 24/7water flow and gated and walled as well has...
                        ","
            Greater Accra, Abokobi
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 8,000
    ","
                            4 BEDROOM LUXURIOUS APARTMENT FOR RENT AT AJIRIGANOR
4 bedrooms is available for rent At Ajiriganor...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 5bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 15,552
    ","
                            V.I.P 5 bedroom house located at Norrip for rent
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Townhouse/Terrace in Cantonments for Rent
    ","
        GH₵ 14,500
    ","
                            3bedroom swimming pool apartment for rent at at cantonmnent
price:$2500 
nb: price include service...
                        ","
            Greater Accra, Cantonments
        "
"
        Mini Flat in Adenta Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            1Bedroom flat, huge hall, huge bedroom, visitors washroom, AC available,separate meter, neat kitchen...
                        ","
            Greater Accra, Adenta
        "
"
        2bdrm Townhouse/Terrace in Nmai Dzorn, Ga East Municipal for Rent
    ","
        GH₵ 5,400
    ","
                            Newly built 2 bedroom townhouse for rent at school junction melcome area asking price is 700$...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 3,500
    ","
                            Executive 4 bedrooms house for rent at east legon ajiriganor very cool area call for your view today...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 500
    ","
                            Cool 2bedroom apartment
Located at Kasoa Obum road.
going for 500gh accept 1year rent.
accept any...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 500
    ","
                            2 bedroom apartment closed to TTH, closed to Ghanasco
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            Spacious 1 bedrooms apartment for rent at Kukuo
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in the Dorns Properties, New Town for Rent
    ","
        GH₵ 1,500
    ","
                            A luxury 2 bedroom apartment for rent @ teshie penny,wall and gated,pop ceiling, separate meter,...
                        ","
            Greater Accra, Teshie
        "
"
        1bdrm Apartment in Tamale, Vittin for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment situated at Vittin Barrier.closed to the roadside, pipe water,walled
                        ","
            Northern Region, Tamale Municipal
        "
"
        Furnished 4bdrm Townhouse/Terrace in Ridge for Rent
    ","
        GH₵ 32,000
    ","
                            4BEDROOM TOWNHOUSE RENTING IN RIDGE, ACCRA.
(Furnished/Unfurnished)
Nestled behind the hustle and...
                        ","
            Greater Accra, Ridge
        "
"
        4bdrm House in East Legon for Rent
    ","
        GH₵ 15,600
    ","
                            *executive house available for rent at east legon, adjiringano*
executive 4bedroom house with a nice...
                        ","
            Greater Accra, East Legon
        "
"
        4bdrm House in Jovin Properties, East Legon for Rent
    ","
        GH₵ 2,600
    ","
                            3 bedrooms self compound for rent at east legon hills main entrance... link up with Jovin Properties...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Tema Metropolitan for Rent
    ","
        GH₵ 1,300
    ","
                            Fairly used 2 bedroom apartment for rent in com 25 mount carmel area very Specious rooms and a big...
                        ","
            Greater Accra, Tema Metropolitan
        "
"
        2bdrm Block of Flats in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 400
    ","
                            2 bedroom apartment with toilet and bath, kitchen, porch, wardropes
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Duplex in Ben Properties, Ga East Municipal for rent
    ","
        GH₵ 3,000
    ","
                            Excutive bran new four bedroom self compound at agboba paraku for rent for 3,000 for one year...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        3bdrm Apartment in Fear Not Estate, Accra Metropolitan for Rent
    ","
        GH₵ 2,500
    ","
                            Executive 3bedroom apartment for rent at East legon around the anc shopping mall going for 2500 for...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1bdrm Apartment in Tamale-Gurugu. Nkpa for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Gurugu. Just by the roadside
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm House in American House for Rent
    ","
        GH₵ 21,056
    ","
                            An exquisite four(4) Bedroom house with boys quarters for rent at East Legon American...
                        ","
            Greater Accra, East Legon
        "
"
        4bedroom Gated House To-Let at Eastlegon
    ","
        GH₵ 6,000
    ","
                            Call green for more details this a newly built house
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 2,000
    ","
                            2 BEDROOM LUXURIOUS APARTMENT FOR RENT AT WEST TRASACCO 
2 bedrooms is available for rent At West...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm House in American House for Rent
    ","
        GH₵ 4,875
    ","
                            Two bedroom UNFURNISHED apartment unit is available for $500 per month. A year advance acceptable....
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment in Bestchoice Property, Accra Metropolitan
    ","
        GH₵ 4,500
    ","
                            Fully furnished 3bedroom apartment for rent at Achimota kingsbey Ghc4500 per month for six months...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 1bdrm Apartment in East Legon for Rent
    ","
        GH₵ 6,000
    ","
                            1 bedroom with a hall fully furnished apartment for rent at east legon ability square. comes with...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 330
    ","
                            Nice 1 bedroom apartment for rent at Gurugu. closed to the roadside,water flows regularly
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Townhouse/Terrace in Green, East Legon for Rent
    ","
        GH₵ 10,000
    ","
                            This a gated community house with general pool call Green for more details
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 4bdrm Apartment in Airport Residential Area for Rent
    ","
        GH₵ 20,250
    ","
                            Furnished 4 Bedroom Apartment for Rent/to Let
Features:
•	Fitted Kitchen
•	Exquisite...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        3bdrm Apartment in Elaffhomesgh, Otano for Rent
    ","
        GH₵ 3,000
    ","
                            Hotcake! Property is strategically located, proximious to raod. Top fool with spacious balcony. All...
                        ","
            Greater Accra, Adjiriganor
        "
"
        1bdrm Apartment in Ihouseu, Ashaley Botwe for Rent
    ","
        GH₵ 550
    ","
                            1 bedroom selfcontained for rent at Japan Motors
                        ","
            Greater Accra, Ashaley Botwe
        "
"
        3bdrm Townhouse/Terrace in Airport Residential Area for Rent
    ","
        GH₵ 27,000
    ","
                            An all ensuite 3 bedroom townhouse with a family area and a private swimming pool is up for rent in...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        1bdrm Apartment in Divine Mercy Agency, Awutu Senya West for Rent
    ","
        GH₵ 400
    ","
                            Newly built chamber and hall self contained.
Located at kasoa New market road.
going for accept...
                        ","
            Central Region, Awutu Senya West
        "
"
        3bdrm House in Fear Not, Accra Metropolitan for Rent
    ","
        GH₵ 3,500
    ","
                            Executive 3bedroom house for rent at east airport international school going for 3500gh
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        4bdrm House in Iba, Accra Metropolitan for Rent
    ","
        GH₵ 5,000
    ","
                            4 Bedrooms house at Spintex for rent .
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        3bdrm Apartment in Trasacco, East Legon for Rent
    ","
        GH₵ 6,500
    ","
                            3 bedroom apartment around trasacco for rent $800 ... all en suite guest washroom AC backup plant...
                        ","
            Greater Accra, East Legon
        "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            This two bedroom apartment located 
at new legon, the asking price is 3000 gh
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        Furnished 6bdrm Mansion in Living Large, East Legon for Rent
    ","
        GH₵ 24,000
    ","
                            FURNISHED LUXURIOUS MANSION FOR RENT 
6 bedrooms mansion is available for rent at East Legon...
                        ","
            Greater Accra, East Legon
        "
"
        Furnished 3bdrm Apartment for Rent
    ","
        GH₵ 1,200
    ","
                            Executive Newly built 3Bedroom apartment
Located at Kasoa Galelia
going for 1200gh accept 1year...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in West Trassaco, Adjiriganor for Rent
    ","
        GH₵ 3,500
    ","
                            Newly built 2bedrooms apartment located in west Trassaco going for rent at a price of 3,500 Cedis
                        ","
            Greater Accra, Adjiriganor
        "
"
        1bdrm Apartment in Bi Water. Nkpa, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            1 bedroom apartment for rent at Bi water. a month for 1 year advance and for 2 years advance
                        ","
            Northern Region, Tamale Municipal
        "
"
        5bdrm Penthouse in Cantonments for Rent
    ","
        GH₵ 30,000
    ","
                            +exclusive 5 bed penthouse apt;all en suit•
+1 extra bedroom for visitors as (staff...
                        ","
            Greater Accra, Cantonments
        "
"
        3bdrm Apartment in East Airport for Rent
    ","
        GH₵ 6,560
    ","
                            Newly built 3bedrooms apartment in East Airport For rent 
3units 
Airconditions
Fitted kitchen
All...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        2bdrm Apartment in Kwabenya Estate, Accra Metropolitan for Rent
    ","
        GH₵ 900
    ","
                            Two bedrooms boys quater for rent Regimanuel estates area is only two apartments you have your own...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        5bdrm House in Victor Adzorlolo, Ga West Municipal for Rent
    ","
        GH₵ 3,200
    ","
                            5 bedrooms selfcompound, pop ceiling, kitchen cabinets, 5washrooms, dining area, water flowing,...
                        ","
            Greater Accra, Ga West Municipal
        "
"
        1bdrm Apartment in Doyen Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            Neat one bedroom apartment at Vittin Target for rent.
                        ","
            Northern Region, Tamale Municipal
        "
"
        2bdrm Apartment in Koforidua Bedtime, New-Juaben Municipal for Rent
    ","
        GH₵ 800
    ","
                            A newly built Two Bedrooms Self Contained flat available for rent in Koforidua Bedtime Hotel area....
                        ","
            Eastern Region, New-Juaben Municipal
        "
"
        Furnished 3bdrm Apartment in Jacob West, East Legon for Rent
    ","
        GH₵ 13,000
    ","
                            2,3 bedrooms apartment
4 bedrooms penthouse
fully furnished with swimming pool and security.
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Albert Real Estate, Gomoa East for Rent
    ","
        GH₵ 450
    ","
                            Executive chamber and Hall sc for rent at kasoa melinium city,it has pop ceiling,big Hall, nice...
                        ","
            Central Region, Gomoa East
        "
"
        Furnished 2bdrm Penthouse in Excel-Fame Consult, East Legon for Rent
    ","
        GH₵ 8,850
    ","
                            Ultramodern 1&2& studio apartments with rooftop swimming pool and rooftop restaurant and rooftop gym...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            Beautiful 1 bedroom apartment for rent at Wamali
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Townhouse/Terrace in Fair Haven, Airport Residential Area
    ","
        GH₵ 8,000
    ","
                            A 3 bedrooom TownHouse for rent at East Airport 
Easily accessible as it’s by d road
Secured 24/7
In...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        4bdrm Duplex in Living Large, East Legon for Rent
    ","
        GH₵ 8,000
    ","
                            *property for rent at east legon ogbojo 
price: $1,300 
specifications:
- 4 bedrooms apartment at...
                        ","
            Greater Accra, East Legon
        "
"
        1bdrm Apartment in Midas Court , New Market for Rent
    ","
        GH₵ 500
    ","
                            Executive newly built chamber and hall self contained.
located at kasoa new market road.
going for...
                        ","
            Greater Accra, Kasoa
        "
"
        2bdrm Apartment in Ga East Municipal for Rent
    ","
        GH₵ 1,300
    ","
                            Spacious 2 Bedroom Apartment for Rent
specifications
✓ Ceiling fan
✓ Pop ceiling
✓ 2 people on a...
                        ","
            Greater Accra, Ga East Municipal
        "
"
        2bdrm Apartment in Accra Metropolitan for Rent
    ","
        GH₵ 1,500
    ","
                            For rent 
*2bedroom apartment on spintex* behind *zenith bank* 
*facility includes*
2 bedrooms 
air...
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 250
    ","
                            Beautiful 1 bedroom apartment for rent at Wamali, closed to Tamale girls snr high school.
                        ","
            Northern Region, Tamale Municipal
        "
"
        3bdrm Apartment in Divine Mercy Agency, Awutu Senya East Municipal
    ","
        GH₵ 1,000
    ","
                            Nice 3bedrom apartment
located at old barrier 
going for 1000gh accept 1year rent.
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in Kasoa Barrier, Awutu Senya East Municipal for Rent
    ","
        GH₵ 800
    ","
                            Neat (2) Bedroom apartment.
Located at Kasoa Barrier
going for 800gh accept 1yr rent
wall and...
                        ","
            Central Region, Awutu Senya East Municipal
        "
"
        2bdrm Apartment in East Legon for Rent
    ","
        GH₵ 2,000
    ","
                            Executive standard ultramodern newly built two bedrooms apartment located in a nice serene...
                        ","
            Greater Accra, East Legon
        "
"
        3bdrm House in East Legon for Rent
    ","
        GH₵ 4,500
    ","
                            Available three bedroom self compound house going for rent at East legon with one bedroom boys...
                        ","
            Greater Accra, East Legon
        "
"
        Luxury Villagio Furnished 3bedroms For Rent
    ","
        GH₵ 22,400
    ","
                            Luxury villagio 3bedrooms furnished apartment for rent short or long period term..Located at airport...
                        ","
            Greater Accra, Airport Residential Area
        "
"
        2bdrm Apartment in Ga West Municipal for Rent
    ","
        GH₵ 1,000
    ","
                            It’s a newly built 2 bedroom apartment located at Amasaman Satelite junction. Property is newly...
                        ","
            Greater Accra, Ga West Municipal
        "
"
        1bdrm Apartment in School Junction, Ashaley Botwe for Rent
    ","
        GH₵ 1,000
    ","
                            Newly built chamber and hall apartment at School Junction for rent.
Details,
* Ghs1000 per month 
*...
                        ","
            Greater Accra, Ashaley Botwe
        "
"
        2bdrm Apartment in Ashaley Botwe for Rent
    ","
        GH₵ 2,200
    ","
                            Newly built and executive two bedroom apartment around Lakeside for rent. Spacious rooms and...
                        ","
            Greater Accra, Ashaley Botwe
        "
"
        3bdrm Duplex in Fear Not Estate, Accra Metropolitan for Rent
    ","
        GH₵ 3,000
    ","
                            Executive 3bedroom house for rent at noth legon good location not far from road very hot cakes
                        ","
            Greater Accra, Accra Metropolitan
        "
"
        2bdrm Apartment in Advance Ghana, Spintex for Rent
    ","
        GH₵ 1,000
    ","
                            Excruciating walled n gated 2 bedrooms apartment for rent at spintex for more options contact...
                        ","
            Greater Accra, Spintex
        "
"
        6bdrm House in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 4,000
    ","
                            6 bedroom house storey for rent at Koblimahagu. It comes with a boys quarters.
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Apartment in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 350
    ","
                            Newly built 1 bedroom apartment for rent at Koblimahagu. 24hours water. There's a mechanized...
                        ","
            Northern Region, Tamale Municipal
        "
"
        1bdrm Block of Flats in Nkpa Properties, Tamale Municipal for Rent
    ","
        GH₵ 300
    ","
                            1 bedroom newly built with kitchen, washroom, water flows regularly
                        ","
            Northern Region, Tamale Municipal
        "
"
        4bdrm Townhouse/Terrace in Otano for Rent
    ","
        GH₵ 8,000
    ","
                            Two storey semi-detached townhouse on a gated compound for rent.
                        ","
            Greater Accra, Adjiriganor
        "
"
        3bdrm House in East Legon Accra Metropolitan for Rent
    ","
        GH₵ 13,500
    ","
                            This 3 bedroom semi-detached house is located in East Legon, Adjiringanor. It is inside a gated and...
                        ","
            Greater Accra, Accra Metropolitan
        "
